投稿ID,アカウントID,アカウントのユーザーネーム,アカウント名,説明,時間(秒),公開時間,リンク,投稿タイプ,データコメント,日時,ビュー,リーチ,いいね！の数,シェア数,フォロー数,コメント数,保存数
18083656492892463,17841478326496503,eggrypto_official,エグリプト公式,"総キャラ数1000体以上登場！
ポップでキュートなモンスターたちを集めて育てて、クエストに挑戦しよう！

#エグリプト #EGGRYPTO #NFTゲーム #NFTGame #ブロックチェーンゲーム",15,"12/23/2025 01:13",https://www.instagram.com/reel/DSmbRicDzgP/,IGリール動画,,通算,2005,1595,10,0,1,0,7
18074582621254745,17841478326496503,eggrypto_official,エグリプト公式,"ゲームで資産価値がつくNFTモンスター入手できるかも!?
エグリプトで気軽にNFT体験を始めよう！

#エグリプト #EGGRYPTO #NFTゲーム #育成rpg #スマホゲーム",20,"12/23/2025 19:38",https://www.instagram.com/reel/DSoXjEPD1OM/,IGリール動画,,通算,435,356,3,0,0,0,1
18387082657194540,17841478326496503,eggrypto_official,エグリプト公式,"遊んだ時間がムダにならないNFTゲーム！
毎日ログインで「資産になる」レアモンが手に入るかも！？
エグリプトでNFTデビューしよう！

#エグリプト #EGGRYPTO #育成ゲーム #推し #ブロックチェーンゲーム",20,"12/24/2025 18:23",https://www.instagram.com/reel/DSq2AkoDzYY/,IGリール動画,,通算,33607,20910,208,8,51,0,95
18546799129051937,17841478326496503,eggrypto_official,エグリプト公式,"「正月記念！偉大なる世界樹ガチャ」開催📣

【開催期間】
2025/12/26 12:00 ～ 2026/1/9 12:00

新モンスター続々登場！正月限定のバージョン違いモンスターも排出!?
・十二神ウルト
・午王エポナ
・アレイオーン

気になるモンスターはどれ？
推しをコメントで教えてください👇

年末年始はエグリプトで遊ぼう！

#エグリプト #EGGRYPTO #ガチャ #年末年始 #ゲームアプリ",22,"12/25/2025 21:00",https://www.instagram.com/reel/DSuIrUhDycS/,IGリール動画,,通算,1039,985,7,0,0,0,0
17884590132306632,17841478326496503,eggrypto_official,エグリプト公式,"「正月記念！偉大なる世界樹ガチャ」開催中📣

【開催期間】
～ 2026/1/9 12:00

新モンスター続々登場！
・十二神ウルト
・午王エポナ
・アレイオーン

年末年始はエグリプトで遊ぼう！

#エグリプト #EGGRYPTO #ガチャ #年末年始 #ゲームアプリ",0,"12/28/2025 19:00",https://www.instagram.com/p/DS1N23ej67D/,Instagram画像,,通算,294,87,3,0,0,0,0
17862973968552129,17841478326496503,eggrypto_official,エグリプト公式,"「新年イベントアリーナ」開催📣

【開催期間】
2026/1/1 12:00 ～ 2026/1/5 23:59

イベントアリーナでソウルピースを集めて、
「兎王ミカヅキ」をレアモンに進化させよう！

年末年始はエグリプトで遊ぼう！

#エグリプト #EGGRYPTO #ガチャ #年末年始 #ゲームアプリ",15,"12/29/2025 19:00",https://www.instagram.com/reel/DS3yljFD60d/,IGリール動画,,通算,481,400,3,0,0,0,0
18007343672821426,17841478326496503,eggrypto_official,エグリプト公式,"「福袋ガチャ」開催📣

【開催期間】
第1弾：2025/12/31 12:00 ～ 2026/1/2 12:00
第2弾：2026/1/2 12:00 ～ 2026/1/4 12:00
第3弾：2026/1/4 12:00 ～ 2026/1/6 12:00

ガチャのおまけで「性格ハーブ ★5」が手に入ります。

年末年始はエグリプトで遊ぼう！

#エグリプト #EGGRYPTO #ガチャ #福袋 #年末年始",17,"12/30/2025 19:00",https://www.instagram.com/reel/DS6XZHkD9i7/,IGリール動画,,通算,257,173,2,0,0,0,1
17986565915918091,17841478326496503,eggrypto_official,エグリプト公式,"「スラ美のお年玉ガチャ」開催📣

【開催期間】
2025/12/31 18:00 ～ 2026/1/6 12:00

新年を記念して、無料10連ガチャをプレゼント！
10連で★5モンスターが1体確定!!

新年はエグリプトで遊ぼう！

#エグリプト #EGGRYPTO #ガチャ #お年玉 #年末年始",12,"12/31/2025 19:00",https://www.instagram.com/reel/DS88LIqj70z/,IGリール動画,,通算,308,235,1,0,0,0,0
18059882279297885,17841478326496503,eggrypto_official,エグリプト公式,"「お年玉ログインボーナス」開催📣

【開催期間】
2026/1/1 12:00 ～ 2026/1/6 12:00

期間中ログインで無料10連GEMプレゼント！
新年はエグリプトで遊ぼう！

#エグリプト #EGGRYPTO #ガチャ #お年玉 #年末年始",12,"01/01/2026 19:00",https://www.instagram.com/reel/DS_g_wFj5Wz/,IGリール動画,,通算,261,189,1,0,0,0,0
18084759050033806,17841478326496503,eggrypto_official,エグリプト公式,"「新年イベントアリーナ」開催中📣

【開催期間】
～1/5 23:59

イベントアリーナでソウルピースを集めて、
「兎王ミカヅキ」をレアモンに進化させよう！

新年はエグリプトで遊ぼう！

#エグリプト #EGGRYPTO #ガチャ #年末年始 #ゲームアプリ",0,"01/02/2026 17:00",https://www.instagram.com/p/DTB4Fl8j4Tw/,Instagram画像,,通算,201,79,3,0,0,1,0
